"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget","starting_cash","economy_setup","wrong_strategy_loss"
"econ-resource-trade-with-self","easy","reasoning","econ-resource-trade-with-self-48x40","48x40","fit","observe, build, place_building, harvest, move_units, sell, stop","Allied base @(8-16,18-22): fact + proc + powr + 1× harv + weap (unused war factory); $500","Anti-DRAW enemy fact @(42,34)","passive (anti-DRAW enemy fact only)","","Commander, this is a resource-trade-with-self drill. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), one harvester (harv), and a War Factory (weap), with $500 cash. The `sell` order returns ~50% of a building's cost back as cash. Within about 30 turns, finish with $5500 cash — you can sell the unused war factory ($1000 back from $2000 cost) for immediate liquidity to combine with harvest income.","cash ≥$5500 AND fact AND proc, within 2700 ticks.","fact or proc lost, or deadline (2701 ticks).","30","2703","500","1 harv ~95 cr/turn; weap sellable for $1000 instant cash","Stall → income alone too slow → bar unmet → LOSS. Sell wrong building (e.g. proc) → no income → LOSS."
"econ-resource-trade-with-self","medium","reasoning","econ-resource-trade-with-self-48x40","48x40","fit","observe, build, place_building, harvest, move_units, sell, stop","Same as easy + $500","Anti-DRAW fact @(42,34)","passive (anti-DRAW enemy fact only)","","Commander, this is a resource-trade-with-self drill with a higher cash bar. You hold a Construction Yard, Ore Refinery, Power Plant, one harvester, and a War Factory, with $500 cash. The `sell` order returns half a building's cost. Within about 40 turns, finish with $7500 cash by combining sells with harvest income.","cash ≥$7500 AND fact AND proc, within 3600 ticks.","fact or proc lost, or deadline (3601 ticks).","40","3603","500","Same; $7500 bar requires sell + sustained harvest","Stall → bar unmet → LOSS. Sell proc/powr → wreck income → LOSS."
"econ-resource-trade-with-self","hard","reasoning","econ-resource-trade-with-self-48x40","48x40","fit","observe, build, place_building, harvest, move_units, sell, stop","Allied base seed-rotated NORTH (y=10) or SOUTH (y=28): fact + proc + powr + 1× harv + weap; $500","Anti-DRAW fact @(42,34)","passive (anti-DRAW enemy fact only)","","Commander, this is a resource-trade-with-self drill with seed-rotated base latitude. You hold a Construction Yard, Ore Refinery, Power Plant, one harvester, and a War Factory at NORTH (y=10) or SOUTH (y=28), with $500 cash. Within about 50 turns, finish with $9000 cash by combining sells with harvest income.","cash ≥$9000 AND fact AND proc, within 4500 ticks.","fact or proc lost, or deadline (4501 ticks).","50","4503","500","Per-spawn 1 harv + weap; $9000 bar — sells alone insufficient","Stall → bar unmet → LOSS. Wrong sell → income wrecked → LOSS."
"econ-second-base-race","easy","reasoning","econ-second-base-race-arena","128x40","wide","observe, build, place_building, move_units, harvest, stop","Allied NW base @(8-12,8-11): fact + powr + 1× harv on home patch; $2000","Enemy SE base @(102,30) (turtle bot, defensive) + 2 ore patches (rich SE @(88,30) 12000cr + small NW @(16,8) 3000cr)","turtle bot (enemy defends own base, no excursions)","","Commander, this is a second-base race drill. You hold a Construction Yard (fact), Power Plant (powr), and one harvester (harv) at the NW base, with $2000 cash. An enemy turtle is dug in at the SE base. To win, build a SECOND refinery in the region around the rich SE patch at (88,30) (radius 6) before the enemy locks it down — and reach economy value at least $2400. Building a proc requires fact + powr (you have both); cost $2000.","1 proc in radius-6 of (88,30) AND economy_value ≥$2400, within 3600 ticks.","Deadline (3601 ticks).","40","3603","2000","Home patch 3000cr small; rich SE patch 12000cr; race enemy to (88,30) with 2nd proc placement","Stall → no 2nd proc at (88,30) → location bar unmet → LOSS. Build proc at home → location clause fails → LOSS."
"econ-second-base-race","medium","reasoning","econ-second-base-race-arena","128x40","wide","observe, build, place_building, move_units, harvest, stop","Allied NW base + 1× harv; $2000","Enemy SE turtle + rich SE patch","turtle bot (enemy defends own base, no excursions)","","Commander, this is a second-base race drill with a higher cash target. You hold a Construction Yard, Power Plant, and one harvester at the NW base, with $2000 cash. An enemy turtle holds the SE base. Build a SECOND refinery in the radius-6 region around the rich SE patch at (88,30) and reach economy value at least $3500.","1 proc in radius-6 of (88,30) AND economy_value ≥$3500, within 3600 ticks.","Deadline (3601 ticks).","40","3603","2000","Same NW base; 2nd proc placement on rich SE patch; higher cash bar","Stall → location bar unmet → LOSS. Build at home → location fails → LOSS."
"econ-second-base-race","hard","reasoning","econ-second-base-race-arena","128x40","wide","observe, build, place_building, move_units, harvest, stop","Allied NW or SW base seed-rotated: fact + powr + 1× harv","Enemy on opposite corner; TWO rich patches (one each at NE+SE corners); pick whichever matches spawn","turtle bot (enemy defends own base, no excursions)","","Commander, this is a second-base race drill with seed-rotated base corner. You hold a Construction Yard, Power Plant, and one harvester at either the NW or SW corner — the seed picks. Two rich patches exist (one at (88,30) SE, one at (88,8) NE). Build a SECOND refinery in the radius-6 region of EITHER rich patch and reach economy value at least $4500.","1 proc in radius-6 of (88,30) OR (88,8) AND economy_value ≥$4500, within 3600 ticks.","Deadline (3601 ticks).","40","3603","2000","Per-spawn base; choice of EITHER rich patch for 2nd proc location","Stall → no 2nd proc → LOSS. Build at home → location fails → LOSS."
"econ-silo-vs-spend","easy","reasoning","econ-silo-vs-spend-48x40","48x40","fit","observe, build, place_building, harvest, move_units, attack_unit, attack_move, stop","Allied base @(8-14,18-20): fact + proc + powr + 1× harv on near patch; $1800","2× rifle infantry @(30,18-19) HoldFire + anti-DRAW enemy fact @(42,20)","passive (st0 e1 garrison at x=30 + anti-DRAW fact)","","Commander, this is a silo-vs-spend drill. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), and one harvester (harv) on a near patch, with $1800 cash. Two enemy riflemen sit at (40, 18..19) on hold-fire — they only fire if shot at. Within about 20 turns, satisfy at least one of: (a) build a silo, (b) kill at least 1 enemy, (c) build 2 pillboxes — AND reach economy value $1500 while keeping fact and proc. The pack tests cash conversion choice: storage, military, or defense.","(silo OR ≥1 kill OR 2 pbox) AND economy_value ≥$1500 AND fact AND proc, within 1800 ticks.","fact or proc lost, or deadline (1801 ticks).","20","1803","1800","1 harv near patch ~95 cr/turn; $1800 starting; 3 conversion options","Stall → no conversion clause met → LOSS. Spend only on procs/powr → no qualifying clause → LOSS."
"econ-silo-vs-spend","medium","reasoning","econ-silo-vs-spend-48x40","48x40","fit","observe, build, place_building, harvest, move_units, attack_unit, attack_move, stop","Allied base: fact + proc + powr + 2× harv on 2 near patches; $1800","3× rifle infantry @(30,18-20) HoldFire + anti-DRAW fact @(42,20)","passive (st0 e1 garrison at x=30 + anti-DRAW fact)","","Commander, this is a tighter silo-vs-spend drill. You hold a Construction Yard, Ore Refinery, Power Plant, and TWO harvesters on two near patches, with $1800 cash. Three enemy riflemen sit at (40, 18..20) on hold-fire. Within about 14 turns, satisfy at least one of: build a silo, kill ≥2 enemies, or build 2 pillboxes — AND reach economy value $2200 while keeping fact and proc.","(silo OR ≥2 kills OR 2 pbox) AND economy_value ≥$2200 AND fact AND proc, within 1260 ticks.","fact or proc lost, or deadline (1261 ticks).","14","1263","1800","2 harvs ~190 cr/turn; tighter clock; same 3 options","Stall → no conversion clause met → LOSS."
"econ-silo-vs-spend","hard","reasoning","econ-silo-vs-spend-48x40","48x40","fit","observe, build, place_building, harvest, move_units, attack_unit, attack_move, stop","Allied base seed-rotated NORTH (y=14) or SOUTH (y=26): fact + proc + powr + 2× harv on matching latitude patches; $1800","3× rifle infantry @(30,19-21) HoldFire + anti-DRAW fact @(42,20)","passive (st0 e1 garrison at x=30 + anti-DRAW fact)","","Commander, this is a silo-vs-spend drill with seed-rotated base latitude. You hold a Construction Yard, Ore Refinery, Power Plant, and TWO harvesters on near patches at NORTH (y=14) or SOUTH (y=26), with $1800 cash. Three enemy riflemen sit at (40, 19..21) on hold-fire. Within about 14 turns, satisfy at least one of: build a silo, kill ≥2 enemies, or build 2 pillboxes — AND reach economy value $2200 while keeping fact and proc.","(silo OR ≥2 kills OR 2 pbox) AND economy_value ≥$2200 AND fact AND proc, within 1260 ticks.","fact or proc lost, or deadline (1261 ticks).","14","1263","1800","Per-spawn 2 harvs; 3 conversion options","Stall → no clause met → LOSS. Wrong-spawn opening wastes time."
"econ-startup-from-scratch","easy","reasoning","econ-startup-from-scratch-48x40","48x40","fit","observe, deploy, build, place_building, harvest, move_units, stop","1× MCV @(20,20) + 1× ore mine @(26,20); $1900 cash; NO base built","Anti-DRAW enemy fact @(42,34)","passive (anti-DRAW enemy fact only)","","Commander, this is a startup-from-scratch drill. You hold ONE Mobile Construction Vehicle (mcv — a deployable vehicle that becomes a Construction Yard when deployed) at (20,20), with $1900 cash and an ore mine at (26,20). Deploy the MCV to spawn the fact, then build a Power Plant ($300) + Ore Refinery ($2000) + harvester ($1400) chain to get income flowing. Within about 50 turns, end with at least one refinery, at least one harvester, and economy value $800.","≥1 proc AND ≥1 harv AND economy_value ≥$800, within 4500 ticks.","Deadline (4501 ticks).","50","4503","1900","$1900 starting + need powr ($300) + proc ($2000) + harv ($1400) — must sequence carefully; build_total grows over time","Stall (no deploy) → no production → bar unmet → LOSS. Wrong build order (proc before powr) → no power, can't produce → LOSS."
"econ-startup-from-scratch","medium","reasoning","econ-startup-from-scratch-48x40","48x40","fit","observe, deploy, build, place_building, harvest, move_units, stop","1× MCV + 1 mine; $1900","Anti-DRAW fact @(42,34)","passive (anti-DRAW enemy fact only)","","Commander, this is a startup-from-scratch drill with tighter clock. You hold ONE Mobile Construction Vehicle (mcv) at (20,20), with $1900 cash and an ore mine at (26,20). Deploy, build powr + proc + harv, get mining. Within about 40 turns, end with ≥1 proc, ≥1 harv, and economy value $1200.","≥1 proc AND ≥1 harv AND economy_value ≥$1200, within 3600 ticks.","Deadline (3601 ticks).","40","3603","1900","Same setup; tighter clock + higher economy bar","Stall → bar unmet → LOSS. Wasted turns on wrong sequence → can't reach $1200 in time → LOSS."
"econ-startup-from-scratch","hard","reasoning","econ-startup-from-scratch-48x40","48x40","fit","observe, deploy, build, place_building, harvest, move_units, stop","1× MCV seed-rotated NORTH (y=14) or SOUTH (y=26) + matching latitude mine; $1900","Anti-DRAW fact @(42,34)","passive (anti-DRAW enemy fact only)","","Commander, this is a startup-from-scratch drill with seed-rotated start. You hold ONE Mobile Construction Vehicle (mcv) at either NORTH (y=14) or SOUTH (y=26) with a matching latitude ore mine, and $1900 cash. Deploy, build powr + proc + harv, get mining. Within about 45 turns, end with ≥1 proc, ≥1 harv, and economy value $1500.","≥1 proc AND ≥1 harv AND economy_value ≥$1500, within 4000 ticks.","Deadline (4001 ticks).","45","4053","1900","Per-spawn MCV+mine; sequencing as before","Stall → LOSS. Wrong build order → LOSS. Memorised deploy cell on wrong latitude → LOSS."
"econ-target-cash-amount-by-deadline","easy","reasoning","econ-target-cash-amount-by-deadline-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base @(8-16,18-22): fact + proc + tent + powr + weap + 1× harv on near patches; $600","Anti-DRAW enemy e1 @(42,34) HoldFire","passive (anti-DRAW enemy fact only)","","Commander, this is a target-cash-by-deadline drill. You hold a Construction Yard (fact), Ore Refinery (proc), Allied Barracks (tent), Power Plant (powr), War Factory (weap), and one harvester (harv) on two near ore patches, with $600 cash. Within about 30 turns, reach $1500 cash with AT LEAST TWO harvesters alive (build a 2nd harv at $1400 from the war factory). Stalling will not reach the harv count; over-spending on other buildings will not reach the cash.","cash ≥$1500 AND ≥2 harvs, within 2700 ticks.","fact lost, no harv, or deadline (2701 ticks).","30","2703","600","1 harv ~95 cr/turn; need to build 2nd harv ($1400) and still hit $1500 cash","Stall → only 1 harv → 2-harv clause unmet → LOSS. Skip 2nd harv → bar unmet → LOSS."
"econ-target-cash-amount-by-deadline","medium","reasoning","econ-target-cash-amount-by-deadline-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Same: fact + proc + tent + powr + weap + 1× harv; $600","Anti-DRAW e1 @(42,34)","passive (anti-DRAW enemy fact only)","","Commander, this is a target-cash drill with a higher bar. You hold a full Allied production base — Construction Yard (fact), Ore Refinery (proc), Allied Barracks (tent), Power Plant (powr), War Factory (weap) — plus one harvester (harv), with $600 cash. Within about 51 turns, reach $5500 cash with at least two harvesters alive.","cash ≥$5500 AND ≥2 harvs, within 4500 ticks.","fact lost, no harv, or deadline (4501 ticks).","51","4593","600","Need 2nd harv + sustained income; $5500 requires patient harvest cycle","Stall → only 1 harv → LOSS. Skip 2nd harv → income too slow → LOSS."
"econ-target-cash-amount-by-deadline","hard","reasoning","econ-target-cash-amount-by-deadline-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base seed-rotated NORTH (y=10) or SOUTH (y=28): fact + proc + tent + powr + weap + 1× harv; $600","Anti-DRAW e1 @(42,34)","passive (anti-DRAW enemy fact only)","","Commander, this is a target-cash drill with seed-rotated base latitude. You hold a full Allied production base — Construction Yard, Ore Refinery, Allied Barracks, Power Plant, War Factory — plus one harvester at NORTH (y=10) or SOUTH (y=28), with $600 cash. Within about 46 turns, reach $6500 cash with at least two harvesters alive.","cash ≥$6500 AND ≥2 harvs, within 4000 ticks.","fact lost, no harv, or deadline (4001 ticks).","46","4143","600","Per-spawn 1 harv + full prod base; need 2nd harv + sustained harvest","Stall → 1 harv only → LOSS. Wrong build sequence wastes ticks → bar unmet → LOSS."
"econ-tech-vs-expand-decision","easy","reasoning","econ-tech-vs-expand-decision-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base @(8-16,18-22): fact + proc + powr + weap + 1× harv on near patches; $2000","Anti-DRAW enemy e1 @(42,34) HoldFire","passive (anti-DRAW enemy fact only)","","Commander, this is a tech-vs-expand decision drill. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), War Factory (weap), and one harvester (harv) on two near ore patches, with $2000 cash. The decision is to invest in TECH (more harvesters via war factory, or a Service Depot to enable higher tech) OR EXPAND (a 2nd refinery for parallel mining). Within about 30 turns, reach economy value at least $7000 while keeping the Construction Yard and refinery standing.","economy_value ≥$7000 AND fact AND ≥1 proc, within 2700 ticks.","fact or proc lost, or deadline (2701 ticks).","30","2703","2000","1 harv ~95 cr/turn; $2000 funds either 2nd harv ($1400) or 2nd proc ($2000); tech option (fix) is $1200","Stall → income too slow → LOSS. 2nd proc without 2nd harv → empty → LOSS."
"econ-tech-vs-expand-decision","medium","reasoning","econ-tech-vs-expand-decision-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Same: fact + proc + powr + weap + 1× harv; $2000","Anti-DRAW e1 @(42,34)","passive (anti-DRAW enemy fact only)","","Commander, this is a tech-vs-expand decision drill with a higher bar. You hold a Construction Yard, Ore Refinery, Power Plant, War Factory, and one harvester on two near patches, with $2000 cash. Within about 40 turns, reach economy value at least $9000 while keeping fact and refinery.","economy_value ≥$9000 AND fact AND ≥1 proc, within 3600 ticks.","fact or proc lost, or deadline (3601 ticks).","40","3603","2000","Same setup; $9000 bar","Stall → LOSS. Wrong investment → bar unmet → LOSS."
"econ-tech-vs-expand-decision","hard","reasoning","econ-tech-vs-expand-decision-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base seed-rotated NORTH (y=10) or SOUTH (y=28): fact + proc + powr + weap + 1× harv; $2000","Anti-DRAW e1 @(42,34)","passive (anti-DRAW enemy fact only)","","Commander, this is a tech-vs-expand decision drill with seed-rotated base latitude. You hold a Construction Yard, Ore Refinery, Power Plant, War Factory, and one harvester at NORTH (y=10) or SOUTH (y=28), with $2000 cash. Within about 50 turns, reach economy value at least $12000.","economy_value ≥$12000 AND fact AND ≥1 proc, within 4500 ticks.","fact or proc lost, or deadline (4501 ticks).","50","4503","2000","Per-spawn 1 harv; high $12000 bar requires both tech (more harvs) and expansion","Stall → LOSS. Either tech or expand alone misses bar → LOSS."
"economy-force-buildup","easy","reasoning","economy-force-buildup-48x40","48x40","fit","build, place_building, move_units, deploy, stop","Allied base @(10-14,18-22): fact + powr + tent; $2400","Anti-DRAW enemy fact @(42,34) HoldFire","passive (anti-DRAW enemy fact at (42,34))","","Commander, this is an economy-driven force buildup. You hold a Construction Yard (fact), Power Plant (powr), and Allied Barracks (tent), with $2400 cash. Build a SECOND Power Plant ($300) to support more production, then queue at least four rocket soldiers (e3, $300 each) from the barracks. Within about 30 turns, end with 2 power plants and at least 4 rocket infantry.","≥2 powr AND ≥4 e3, within 2703 ticks.","Deadline (2703 ticks).","30","2703","2400","No harvesters — pure starting cash spend; $300 powr + 4× $300 e3 = $1500 (leaves slack)","Stall → no production → LOSS. Spend on wrong units (e1) → e3 bar unmet → LOSS."
"economy-force-buildup","medium","reasoning","economy-force-buildup-48x40","48x40","fit","build, place_building, move_units, deploy, stop","Allied base: fact + powr + tent; $1900","Anti-DRAW enemy fact","passive (anti-DRAW enemy fact at (42,34))","","Commander, this is an economy-driven force buildup with tighter cash. You hold a Construction Yard, Power Plant, and Allied Barracks, with $1900 cash. Build a second Power Plant ($300), then queue at least five rocket soldiers (e3, $300 each), keeping total own units at ≥5. Within about 28 turns.","≥2 powr AND ≥5 e3 AND own_units ≥5, within 2523 ticks.","Deadline (2523 ticks).","28","2523","1900","Same setup; tighter $1900 budget — $300 powr + 5× $300 e3 = $1800 (very tight)","Stall → LOSS. Wasted cash on wrong building → can't fit 5× e3 → LOSS."
"economy-force-buildup","hard","reasoning","economy-force-buildup-48x40","48x40","fit","build, place_building, move_units, deploy, stop","Allied base: fact + powr + tent; $2150","Anti-DRAW enemy fact","passive (anti-DRAW enemy fact at (42,34))","","Commander, this is an economy-driven force buildup with zero-loss requirement. You hold a Construction Yard, Power Plant, and Allied Barracks, with $2150 cash. Build a second Power Plant, then queue at least SIX rocket soldiers (e3) — and lose NONE. Within about 24 turns.","≥2 powr AND ≥6 e3 AND zero losses, within 2163 ticks.","Deadline (2163 ticks).","24","2163","2150","No harvs; $2150 budget; $300 powr + 6× $300 e3 = $2100 (almost exact)","Stall → LOSS. Any loss → zero-loss clause busted → LOSS."
"economy-harvest-investment","easy","reasoning","economy-harvest-investment-56x40","56x40","fit","build, place_building, harvest, move_units, deploy, stop","Allied base @(10-14,18-22): fact + proc + powr + weap + 1× harv on near patch; far mines at (40,8) and (40,28)","Anti-DRAW enemy fact @(52,34) HoldFire","passive (anti-DRAW enemy fact only)","","Commander, this is a harvest-investment drill. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), War Factory (weap), and one harvester (harv) on a near patch at (22,18), plus far ore patches at (40,8) and (40,28). With $1100 cash, the right play is to build more harvesters (each $1400) to exploit the multi-patch geography. Within about 80 turns, reach economy value $12000 with at least one own unit and refinery.","economy_value ≥$12000 AND ≥1 own unit AND proc, within 7200 ticks.","No own unit, no proc, or deadline (7200 ticks).","80","7203","1100","1 harv on near patch + 2 far patches; investment is more harvs via weap ($1400 each)","Stall → 1-harv income too slow → LOSS. Spend cash on tanks → no extra harvs → LOSS."
"economy-harvest-investment","medium","reasoning","economy-harvest-investment-56x40","56x40","fit","build, place_building, harvest, move_units, deploy, stop","Same: fact + proc + powr + weap + 1× harv; $1100","Anti-DRAW fact","passive (anti-DRAW enemy fact only)","","Commander, this is a harvest-investment drill with a higher bar. You hold a Construction Yard, Ore Refinery, Power Plant, War Factory, and one harvester on a near patch (plus two far patches at (40,8) and (40,28)), with $1100 cash. Within about 80 turns, reach economy value $17000.","economy_value ≥$17000 AND ≥1 own unit AND proc, within 7200 ticks.","No own unit, no proc, or deadline (7200 ticks).","80","7203","1100","Same setup; $17000 bar requires investing in multiple harvs","Stall → LOSS. Single harv insufficient → LOSS."
"economy-harvest-investment","hard","reasoning","economy-harvest-investment-56x40","56x40","fit","build, place_building, harvest, move_units, deploy, stop","Allied base seed-rotated NORTH (y=16) or SOUTH (y=20): fact + proc + powr + weap + 1× harv; far patches at (40,8) and (40,28); $1100","Anti-DRAW fact","passive (anti-DRAW enemy fact only)","","Commander, this is a harvest-investment drill with seed-rotated base latitude. You hold a Construction Yard, Ore Refinery, Power Plant, War Factory, and one harvester at NORTH (y=16) or SOUTH (y=20), with $1100 cash. Within about 90 turns, reach economy value $21000.","economy_value ≥$21000 AND ≥1 own unit AND proc, within 8100 ticks.","No own unit, no proc, or deadline (8100 ticks).","90","8103","1100","Per-spawn 1 harv; multi-patch geography; high $21000 bar","Stall → LOSS. Single-harv income → bar unmet → LOSS."
"economy-harvest-timebox","easy","reasoning","economy-harvest-timebox-48x40","48x40","fit","harvest, move_units, build, place_building, stop","Allied base @(8-14,18-22): fact + powr + proc + weap + 1× harv on near patches","No enemy actors","passive (no enemy listed)","","Commander, this is a timeboxed harvest drill. You hold a Construction Yard (fact), Power Plant (powr), Ore Refinery (proc), War Factory (weap), and one harvester (harv) on two near ore patches at (22,18) and (22,22), with $1100 cash. No enemies to worry about — pure harvest tempo test. Within about 22 turns, reach economy value at least $4000.","economy_value ≥$4000, within 1800 ticks.","No own unit, or deadline (1801 ticks).","22","1983","1100","1 harv ~190 cr/turn on 2 near patches; build extra harvs ($1400) to compound — but cost vs cycle tradeoff","Stall → income too slow → LOSS. All cash on harvs → can't spend within deadline → LOSS."
"economy-harvest-timebox","medium","reasoning","economy-harvest-timebox-48x40","48x40","fit","harvest, move_units, build, place_building, stop","Same: fact + powr + proc + weap + 1× harv; $1100","No enemy","passive (no enemy listed)","","Commander, this is a timeboxed harvest drill with higher bar. You hold a Construction Yard, Power Plant, Ore Refinery, War Factory, and one harvester on two near patches, with $1100 cash. Within about 35 turns, reach economy value at least $8000.","economy_value ≥$8000, within 3000 ticks.","No own unit, or deadline (3001 ticks).","35","3153","1100","Same setup; $8000 bar requires extra harv investment","Stall → LOSS. Pure harv hoard → bar unmet → LOSS."
"economy-harvest-timebox","hard","reasoning","economy-harvest-timebox-48x40","48x40","fit","harvest, move_units, build, place_building, stop","Allied base seed-rotated NORTH (y=10) or SOUTH (y=28): fact + powr + proc + weap + 1× harv on matching latitude patches + bonus mid mine; $2200","No enemy","passive (no enemy listed)","","Commander, this is a timeboxed harvest drill with seed-rotated base latitude. You hold a Construction Yard, Power Plant, Ore Refinery, War Factory, and one harvester on near patches at NORTH (y=10) or SOUTH (y=28) plus a bonus mid mine, with $2200 cash. Within about 42 turns, reach economy value at least $12000.","economy_value ≥$12000, within 3600 ticks.","No own unit, or deadline (3601 ticks).","42","3783","2200","Per-spawn 1 harv + 3 patches; $2200 funds extra harv","Stall → LOSS. Single harv on 3 patches → bar unmet → LOSS."
"economy-investment","easy","reasoning","economy-investment-48x40","48x40","fit","build, place_building, move_units, deploy, stop","Allied base @(10-14,18-22): fact + powr + proc + tent; $1700","Anti-DRAW enemy fact @(42,34)","passive (anti-DRAW enemy fact only)","","Commander, this is an investment drill. You hold a Construction Yard (fact), Power Plant (powr), Ore Refinery (proc), and Allied Barracks (tent), with $1700 cash. Build a SECOND refinery and a SECOND power plant — together $2300 (requires earning a bit more, or spending efficiently). Within about 24 turns, end with 2 refineries AND 2 power plants.","≥2 proc AND ≥2 powr, within 1893 ticks.","Deadline (1893 ticks).","24","2253","1700","No harv — starting cash 1700 vs $2300 spend needed; depends on income or careful sequencing","Stall → no new buildings → LOSS. Wrong spend (units) → building bars unmet → LOSS."
"economy-investment","medium","reasoning","economy-investment-48x40","48x40","fit","build, place_building, move_units, deploy, stop","Same: fact + powr + proc + tent; $2000","Anti-DRAW fact","passive (anti-DRAW enemy fact only)","","Commander, this is an investment drill with unit requirement. You hold a Construction Yard, Power Plant, Ore Refinery, and Allied Barracks, with $2000 cash. Build a second refinery, a second power plant, AND have at least 3 own units. Within about 26 turns.","≥2 proc AND ≥2 powr AND ≥3 own units, within 2073 ticks.","Deadline (2073 ticks).","26","2433","2000","$2000 budget; need procs/powrs + 3 units (likely 3 e1 from tent = $300)","Stall → LOSS. Wrong sequence → some bar unmet → LOSS."
"economy-investment","hard","reasoning","economy-investment-48x40","48x40","fit","build, place_building, move_units, deploy, stop","Same: fact + powr + proc + tent; $2200","Anti-DRAW fact","passive (anti-DRAW enemy fact only)","","Commander, this is an investment drill with unit-mass requirement. You hold a Construction Yard, Power Plant, Ore Refinery, and Allied Barracks, with $2200 cash. Within about 32 turns, end with at least 22 own units AND at least one refinery (likely build 22 rifle infantry $100 = $2200 from the barracks).","own_units ≥22 AND ≥1 proc, within 2613 ticks.","Deadline (2613 ticks).","32","2973","2200","$2200 funds exactly 22× e1 ($100 each); barracks must produce continuously","Stall → LOSS. Wrong unit choice (e3 at $300) → only 7 units → LOSS."
"economy-time-box","easy","reasoning","economy-time-box-48x40","48x40","fit","build, place_building, move_units, deploy, stop","Allied base @(10-14,18-22): fact + powr + tent; $4000","Anti-DRAW enemy fact @(42,34)","passive (anti-DRAW enemy fact only)","","Commander, this is a timeboxed buildup. You hold a Construction Yard (fact), Power Plant (powr), and Allied Barracks (tent), with $4000 cash. Build at least 4 own units AND grow building total to at least 4 (one more building). Within about 60 turns.","own_units ≥4 AND building_total ≥4, within 5000 ticks.","fact lost, or deadline (5001 ticks).","60","5403","4000","No harv — $4000 starting; cheap units (e1 $100) easy; need 1 extra building ($300 powr)","Stall → no units/no extra building → LOSS."
"economy-time-box","medium","reasoning","economy-time-box-48x40","48x40","fit","build, place_building, move_units, deploy, stop","Same: fact + powr + tent; $2400","Anti-DRAW fact","passive (anti-DRAW enemy fact only)","","Commander, this is a timeboxed buildup with tighter cash. You hold a Construction Yard, Power Plant, and Allied Barracks, with $2400 cash. Build at least 5 own units AND grow building total to at least 4. Within about 70 turns.","own_units ≥5 AND building_total ≥4, within 5500 ticks.","fact lost, or deadline (5501 ticks).","70","6303","2400","Same; $2400 + need 5 units + 1 building","Stall → LOSS. Wrong spend → some bar unmet → LOSS."
"economy-time-box","hard","reasoning","economy-time-box-48x40","48x40","fit","build, place_building, move_units, deploy, stop","Same: fact + powr + tent; $1700","Anti-DRAW fact","passive (anti-DRAW enemy fact only)","","Commander, this is a timeboxed buildup with zero losses. You hold a Construction Yard, Power Plant, and Allied Barracks, with $1700 cash. Build at least 6 own units AND grow building total to at least 5 — lose NONE. Within about 80 turns.","own_units ≥6 AND building_total ≥5 AND zero losses, within 6500 ticks.","fact lost, any loss, or deadline (6501 ticks).","80","7203","1700","Same; tightest $1700 + 6 units + 2 extra buildings","Stall → LOSS. Any loss → LOSS. Wrong sequence → bar unmet → LOSS."
